2026-08-29 15:01:45,942 | 04_permutation_test | INFO | Permutation 13/100: AUC=0.5500 (6.8s)
2026-08-29 15:01:52,390 | 04_permutation_test | INFO | Permutation 14/100: AUC=0.5538 (6.4s)
2026-08-29 15:01:59,094 | 04_permutation_test | INFO | Permutation 15/100: AUC=0.3697 (6.7s)
2026-08-29 15:02:05,810 | 04_permutation_test | INFO | Permutation 16/100: AUC=0.5334 (6.7s)
2026-08-29 15:02:12,442 | 04_permutation_test | INFO | Permutation 17/100: AUC=0.4233 (6.6s)
2026-08-29 15:02:18,933 | 04_permutation_test | INFO | Permutation 18/100: AUC=0.5360 (6.5s)
2026-08-29 15:02:25,583 | 04_permutation_test | INFO | Permutation 19/100: AUC=0.5385 (6.7s)
2026-08-29 15:02:33,273 | 04_permutation_test | INFO | Permutation 20/100: AUC=0.5692 (7.7s)
2026-08-29 15:02:40,168 | 04_permutation_test | INFO | Permutation 21/100: AUC=0.5159 (6.9s)
2026-08-29 15:02:46,995 | 04_permutation_test | INFO | Permutation 22/100: AUC=0.4143 (6.8s)
2026-08-29 15:02:53,955 | 04_permutation_test | INFO | Permutation 23/100: AUC=0.4900 (7.0s)
2026-08-29 15:03:01,202 | 04_permutation_test | INFO | Permutation 24/100: AUC=0.5373 (7.2s)
2026-08-29 15:03:08,733 | 04_permutation_test | INFO | Permutation 25/100: AUC=0.4089 (7.5s)
2026-08-29 15:03:15,749 | 04_permutation_test | INFO | Permutation 26/100: AUC=0.4988 (7.0s)
2026-08-29 15:03:22,402 | 04_permutation_test | INFO | Permutation 27/100: AUC=0.6223 (6.7s)
2026-08-29 15:03:29,262 | 04_permutation_test | INFO | Permutation 28/100: AUC=0.5153 (6.9s)
2026-08-29 15:03:35,837 | 04_permutation_test | INFO | Permutation 29/100: AUC=0.6169 (6.6s)
2026-08-29 15:03:42,388 | 04_permutation_test | INFO | Permutation 30/100: AUC=0.4234 (6.6s)
2026-08-29 15:03:49,207 | 04_permutation_test | INFO | Permutation 31/100: AUC=0.3989 (6.8s)
2026-08-29 15:03:56,065 | 04_permutation_test | INFO | Permutation 32/100: AUC=0.5305 (6.9s)
2026-08-29 15:04:02,974 | 04_permutation_test | INFO | Permutation 33/100: AUC=0.5130 (6.9s)
2026-08-29 15:04:09,607 | 04_permutation_test | INFO | Permutation 34/100: AUC=0.4992 (6.6s)
2026-08-29 15:04:16,351 | 04_permutation_test | INFO | Permutation 35/100: AUC=0.4577 (6.7s)
2026-08-29 15:04:23,026 | 04_permutation_test | INFO | Permutation 36/100: AUC=0.5175 (6.7s)
2026-08-29 15:04:30,034 | 04_permutation_test | INFO | Permutation 37/100: AUC=0.4775 (7.0s)
2026-08-29 15:04:36,908 | 04_permutation_test | INFO | Permutation 38/100: AUC=0.6063 (6.9s)
2026-08-29 15:04:43,420 | 04_permutation_test | INFO | Permutation 39/100: AUC=0.5510 (6.5s)
2026-08-29 15:04:50,145 | 04_permutation_test | INFO | Permutation 40/100: AUC=0.4460 (6.7s)
2026-08-29 15:04:56,719 | 04_permutation_test | INFO | Permutation 41/100: AUC=0.5273 (6.6s)
2026-08-29 15:05:03,438 | 04_permutation_test | INFO | Permutation 42/100: AUC=0.5402 (6.7s)
2026-08-29 15:05:09,993 | 04_permutation_test | INFO | Permutation 43/100: AUC=0.4154 (6.6s)
2026-08-29 15:05:16,979 | 04_permutation_test | INFO | Permutation 44/100: AUC=0.4222 (7.0s)
2026-08-29 15:05:24,572 | 04_permutation_test | INFO | Permutation 45/100: AUC=0.4932 (7.6s)
2026-08-29 15:05:32,235 | 04_permutation_test | INFO | Permutation 46/100: AUC=0.4627 (7.7s)
2026-08-29 15:05:39,663 | 04_permutation_test | INFO | Permutation 47/100: AUC=0.4980 (7.4s)
2026-08-29 15:05:47,772 | 04_permutation_test | INFO | Permutation 48/100: AUC=0.4066 (8.1s)
2026-08-29 15:05:55,840 | 04_permutation_test | INFO | Permutation 49/100: AUC=0.5540 (8.1s)
2026-08-29 15:06:03,459 | 04_permutation_test | INFO | Permutation 50/100: AUC=0.5365 (7.6s)
2026-08-29 15:06:11,657 | 04_permutation_test | INFO | Permutation 51/100: AUC=0.5115 (8.2s)
2026-08-29 15:06:19,228 | 04_permutation_test | INFO | Permutation 52/100: AUC=0.5433 (7.6s)
2026-08-29 15:06:26,942 | 04_permutation_test | INFO | Permutation 53/100: AUC=0.5584 (7.7s)
2026-08-29 15:06:35,134 | 04_permutation_test | INFO | Permutation 54/100: AUC=0.4437 (8.2s)
2026-08-29 15:06:42,848 | 04_permutation_test | INFO | Permutation 55/100: AUC=0.5086 (7.7s)
2026-08-29 15:06:50,526 | 04_permutation_test | INFO | Permutation 56/100: AUC=0.5501 (7.7s)
2026-08-29 15:06:58,267 | 04_permutation_test | INFO | Permutation 57/100: AUC=0.5551 (7.7s)
2026-08-29 15:07:05,875 | 04_permutation_test | INFO | Permutation 58/100: AUC=0.5486 (7.6s)
